title,link,year
Gladiator,https://en.wikipedia.org/wiki/Gladiator_(2000_film),2000
A Beautiful Mind,https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film),2001
Chicago,https://en.wikipedia.org/wiki/Chicago_(2002_film),2002
The Lord of the Rings: The Return of the King,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,2003
Million Dollar Baby,https://en.wikipedia.org/wiki/Million_Dollar_Baby,2004
Crash,https://en.wikipedia.org/wiki/Crash_(2004_film),2005
The Departed,https://en.wikipedia.org/wiki/The_Departed,2006
No Country for Old Men,https://en.wikipedia.org/wiki/No_Country_for_Old_Men,2007
Slumdog Millionaire,https://en.wikipedia.org/wiki/Slumdog_Millionaire,2008
The Hurt Locker,https://en.wikipedia.org/wiki/The_Hurt_Locker,2009
The King's Speech,https://en.wikipedia.org/wiki/The_King%27s_Speech,2010
The Artist,https://en.wikipedia.org/wiki/The_Artist_(film),2011
Argo,https://en.wikipedia.org/wiki/Argo_(2012_film),2012
12 Years a Slave,https://en.wikipedia.org/wiki/12_Years_a_Slave_(film),2013
Birdman or (The Unexpected Virtue of Ignorance),https://en.wikipedia.org/wiki/Birdman_(film),2014
Spotlight,https://en.wikipedia.org/wiki/Spotlight_(film),2015
Moonlight,https://en.wikipedia.org/wiki/Moonlight_(2016_film),2016
The Shape of Water,https://en.wikipedia.org/wiki/The_Shape_of_Water,2017
Green Book,https://en.wikipedia.org/wiki/Green_Book_(film),2018
Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film),2019
Nomadland,https://en.wikipedia.org/wiki/Nomadland,2020
CODA,https://en.wikipedia.org/wiki/CODA_(2021_film),2021
Everything Everywhere All at Once,https://en.wikipedia.org/wiki/Everything_Everywhere_All_at_Once,2022
Oppenheimer,https://en.wikipedia.org/wiki/Oppenheimer_(film),2023
